,company,,date,url,title
,CLEAR - Corporate,,05/07/2026,https://job-boards.greenhouse.io/clear/jobs/7901600?gh_src=my.greenhouse.search,"Software Engineer, Infrastructure"
,Nuro,,05/07/2026,https://nuro.ai/careersitem?gh_jid=7895644&gh_src=my.greenhouse.search,"Software Engineer, Data Platform"
,Life360,,05/08/2026,https://job-boards.greenhouse.io/life360/jobs/8537023002?gh_src=my.greenhouse.search,"Staff AI Builder (AI Native Mobile Engineer), Family AI Lab"
,FanDuel,,05/08/2026,https://www.fanduel.careers/open-positions?gh_jid=7904548&gh_src=my.greenhouse.search,Software Engineer
,The Florida Panthers,,05/08/2026,https://job-boards.greenhouse.io/thefloridapanthers/jobs/4678719006?gh_src=my.greenhouse.search,Automation Engineer
,The Florida Panthers,,05/08/2026,https://job-boards.greenhouse.io/thefloridapanthers/jobs/4678725006?gh_src=my.greenhouse.search,Platform Engineer
,Inovalon,,05/08/2026,https://www.inovalon.com/careers/job/?gh_jid=7720272003&gh_src=my.greenhouse.search,Software Development Engineer L3
,The Predictive Index,,05/08/2026,https://job-boards.greenhouse.io/predictiveindex/jobs/8534917002?gh_src=my.greenhouse.search,Data Scientist
,iSpot,,05/08/2026,https://job-boards.greenhouse.io/ispottv/jobs/4692638005?gh_src=my.greenhouse.search,Research Data Scientist 1
,Layer Health,,05/08/2026,https://job-boards.greenhouse.io/layerhealth/jobs/5212096008?gh_src=my.greenhouse.search,Contract Data Scientist (40 hrs/wk)
,IDBNY,,05/08/2026,https://job-boards.greenhouse.io/idbny/jobs/4239891009?gh_src=my.greenhouse.search,Data Analyst
,QGenda,,05/08/2026,https://job-boards.greenhouse.io/qgenda/jobs/5194500008?gh_src=my.greenhouse.search,Data Analyst
,"Take-Two Interactive Software, Inc.",,05/08/2026,https://job-boards.greenhouse.io/taketwo/jobs/7868566?gh_src=my.greenhouse.search,Data Governance Analyst
,Whop,,05/08/2026,https://careers.whop.com/?gh_jid=5126033007&gh_src=my.greenhouse.search,Data Scientist
,OpenSesame,,05/09/2026,https://boards.greenhouse.io/opensesame/jobs/7906033?gh_jid=7906033&gh_src=my.greenhouse.search,Associate Software Engineer
,The Florida Panthers,,05/09/2026,https://job-boards.greenhouse.io/thefloridapanthers/jobs/4678735006?gh_src=my.greenhouse.search,Product Engineer
,Verkada,,05/09/2026,https://job-boards.greenhouse.io/verkada/jobs/5126462007?gh_src=my.greenhouse.search,IT Engineer
,OKX,,05/09/2026,https://job-boards.greenhouse.io/okx/jobs/7719264003?gh_src=my.greenhouse.search,Software Engineer Mobile (iOS)
,OKX,,05/09/2026,https://job-boards.greenhouse.io/okx/jobs/7724266003?gh_src=my.greenhouse.search,Software Engineer Mobile (Android)
,Nerdy,,05/09/2026,https://job-boards.greenhouse.io/nerdy/jobs/7908952?gh_src=my.greenhouse.search,AI Product Engineer
,Everstream Analytics,,05/09/2026,https://everstream.ai/careers/jobs/?gh_jid=5990695004&gh_src=my.greenhouse.search,GTM & AI Innovation Intern
,Kaléo,,05/09/2026,https://job-boards.greenhouse.io/kaleo/jobs/7723918003?gh_src=my.greenhouse.search,AI Transformation Specialist
,Anaplan,,05/09/2026,https://job-boards.greenhouse.io/anaplan/jobs/8538805002?gh_src=my.greenhouse.search,Associate GTM AI Engineer
,Box,,05/09/2026,https://job-boards.greenhouse.io/boxinc/jobs/7886709?gh_src=my.greenhouse.search,"Software Engineer II, AI Experiences"
,Pioneer Circuits Inc.,,05/09/2026,https://www.pioneercircuits.com/company/current-openings/?gh_jid=5212520008&gh_src=my.greenhouse.search,Cloud Infrastructure & AI Operations Engineer
,Nav,,05/09/2026,https://job-boards.greenhouse.io/navtechnologies/jobs/5985843004?gh_src=my.greenhouse.search,Software Engineer
,Addepar,,05/09/2026,https://job-boards.greenhouse.io/addepar1/jobs/8539659002?gh_src=my.greenhouse.search,Software Engineer - Workflow Platform
,Censys,,05/10/2026,https://job-boards.greenhouse.io/censys/jobs/8500307002?gh_src=my.greenhouse.search,"Software Engineer (Backend), Core Services"
,Unity Technologies,,05/10/2026,https://unity.com/careers/positions/7908774?gh_jid=7908774&gh_src=my.greenhouse.search,"Staff Software Engineer, Feature Platform"
,True Anomaly,,05/10/2026,https://job-boards.greenhouse.io/trueanomalyinc/jobs/5131359007?gh_src=my.greenhouse.search,Front End Software Engineer Intern
,Objectstream,,05/10/2026,https://job-boards.greenhouse.io/objectstream/jobs/8542311002?gh_src=my.greenhouse.search,Jr. AI Engineer
